name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
china tourism group duty free corporation limited,,china,,,,,"10,780",,,,,,,,,,,,,,
mediatek,,taiwan,,,,,"17,377",rick tsai,,,,,,,,,,,,,
kla corporation,,usa,,,,,"11,550",richard p wallace,,,,,,,,,,,,,
northrop grumman corporation,,usa,,,,,"88,000",kathy warden,,,,,,,,,,,,,
ferrari,,italy,,,,,"4,556",benedetto vigna,,,,,,,,,,,,,
wal-mart de mexico,,mexico,,,,,"239,000",guilherme loureiro,,,,,,,,,,,,,
workday,,usa,,,,,"12,500",chano fernandez,,,,,,,,,,,,,
shenzhen mindray bio-medical electronics,,china,,,,,"9,819",,,,,,,,,,,,,,
public storage,,usa,,,,,"5,800",joseph d russell jr,,,,,,,,,,,,,
hdfc,,india,,,,,"3,226",sashidhar jagdishan,,,,,,,,,,,,,
aon,,usa,,,,,"50,000",gregory c case,,,,,,,,,,,,,
reckitt benckiser group,,uk,,,,,"43,000",laxman narasimhan,,,,,,,,,,,,,
bajaj finance,,india,,,,,"26,969",sanjiv bajaj,,,,,,,,,,,,,
freeport-mcmoran,,usa,,,,,"24,700",richard adkerson,,,,,,,,,,,,,
banco santander,,spain,,,,,"191,189",jose antonio alvarez,,,,,,,,,,,,,
coinbase global inc,,usa,,,,,"3,730",brian armstrong,,,,,,,,,,,,,
ab volvo,,sweden,,,,,"95,850",martin lundstedt,,,,,,,,,,,,,
vinci,,france,,,,,"217,731",xavier huillard,,,,,,,,,,,,,
pernod ricard,,france,,,,,"18,500",alexanricard,,,,,,,,,,,,,
boston scientific corporation,,usa,,,,,"41,000",michael f mahoney,,,,,,,,,,,,,
saudi telecom company stc,,saudi arabia,,,,,"17,000",olayan m alwetaid,,,,,,,,,,,,,
anglo american,,uk,,,,,"90,000",duncan wanblad,,,,,,,,,,,,,
infineon technologies ag,,germany,,,,,"50,288",reinhard ploss,,,,,,,,,,,,,
pjsc lukoil,,russia,,,,,"101,000",vagit alekperov,,,,,,,,,,,,,
softbank corp,,japan,,,,,"47,313",masayoshi son,,,,,,,,,,,,,
general dynamics corporation,,usa,,,,,"103,100",phebe novakovic,,,,,,,,,,,,,
scentre group,,australia,,,,,"2,700",peter kenneth allen,,,,,,,,,,,,,
nxp semiconductors,,netherlands,,,,,"31,000",kurt sievers richard l clemmer,,,,,,,,,,,,,
