name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
godaddy,"tempe, arizona",,,1997  25 years ago  1997   as jomax technologies ,,,,,,,,,
gopro,"tempe, arizona",,,2002  20 years ago  2002 ,,,,,,,,,
harley-davidson,"milwaukee, wisconsin, u.s.",,,1903  119 years ago  1903 ,,,,,,,,,
hermes,rue du faubourg saint-honore,,,1837  185 years ago  1837  in paris,,,,,,,,,
haier,rue du faubourg saint-honore,,,1984  38 years ago  1984 ,,,,,,,,,
harrods,brompton road,,,1849  173 years ago  1849 ,,,,,,,,,
haribo,brompton road,,,13 december 1920  102 years ago  1920-12-13 ,,,,,,,,,
hard rock cafe,davie,,,"14 june 1971  51 years ago  1971-06-14  london, england",,,,,,,,,
halliburton,"houston, texas",,,"1919  103 years ago  1919 , in duncan, oklahoma, u.s.",,,,,,,,,
hankook tire,bundang-gu,,,10 may 1941  81 years ago  1941-05-10   as the chosun tire company ,,,,,,,,,
house foods,bundang-gu,,,"november 11, 1913  109 years ago  1913-11-11  as urakami shoten",,,,,,,,,
hartwall,bundang-gu,,,"november 11, 1913  109 years ago  1913-11-11  as urakami shoten",,,,,,,,,
h&m,bundang-gu,,,"1947  75 years ago  1947   as hennes  vasteras, sweden",,,,,,,,,
hasbro,bundang-gu,,,1923  99 years ago  1923 ,,,,,,,,,
hearst communications,hearst tower,,,"march 4, 1887  135 years ago  1887-03-04  san francisco, california, united states",,,,,,,,,
henkel,dusseldorf,,,1876  146 years ago  1876 ,,,,,,,,,
hewlett packard enterprise,dusseldorf,,,"november 1, 2015  7 years ago  2015-11-01  in san jose, california",,,,,,,,,
hilti,schaan,,,1941,,,,,,,,,
hisamitsu pharmaceutical,"tosu, saga",,,1847  175 years ago  1847 ,,,,,,,,,
hitachi,"tosu, saga",,,"1910  112 years ago  1910  hitachi, ibaraki, japan",,,,,,,,,
honda,"tosu, saga",,,"hamamatsu, japan  october 1946  1946-10 , incorporated 24 september 1948  74 years ago  1948-09-24  ",,,,,,,,,
honeywell,"charlotte, north carolina, u.s.",,,"1906  116 years ago  1906  wabash, indiana",,,,,,,,,
hp inc,"charlotte, north carolina, u.s.",,,"january 1, 1939  83 years ago  1939-01-01   as hewlett-packard  november 1, 2015  7 years ago  2015-11-01 [1]  as hp inc. ",,,,,,,,,
hsbc,8 canada square,,,"first established on 3 march 1865  157 years ago  1865-03-03  in british hong kong[1]  as the hongkong and shanghai bank  first incorporated on 14 august 1866  156 years ago  1866-08-14 [2]  as the hongkong and shanghai banking corporation  25 march 1991  31 years ago  1991-03-25 [1][3] in london  as hsbc holdings plc, as parent holding company to the entity in hong kong now as a subsidiary ",,,,,,,,,
htc,8 canada square,,,15 may 1997  25 years ago  1997-05-15 ,,,,,,,,,
huayi brothers,8 canada square,,,1994  28 years ago  1994 ,,,,,,,,,
huawei,8 canada square,,,15 september 1987  35 years ago  1987-09-15 ,,,,,,,,,
huntington bancshares,"columbus, ohio",,,"1866  156 years ago  1866  as p. w. huntington & company in columbus, ohio",,,,,,,,,
huntington ingalls industries,"columbus, ohio",,,"march 31, 2011  11 years ago  2011-03-31 ",,,,,,,,,
huntsman corporation,"the woodlands, texas, u.s.",,,1970  52 years ago  1970 ,,,,,,,,,
hytera,shenzhen,,,1993,,,,,,,,,
hmd global,espoo,,,1 december 2016  6 years ago  2016-12-01 ,,,,,,,,,
hyundai motor company,espoo,,,29 december 1967  54 years ago  1967-12-29 ,,,,,,,,,
ibm,espoo,,,"june 16, 1911  111 years ago  1911-06-16   as computing-tabulating-recording company  endicott, new york, u.s.[1]",,,,,,,,,
nex group,espoo,,,1999  23 years ago  1999 ,,,,,,,,,
icici bank,espoo,,,5 january 1994  28 years ago  1994-01-05 ,,,,,,,,,
ijm corporation,espoo,,,1983,,,,,,,,,
indeed,"austin, texas",,,november 2004  18 years ago  2004-11 ,,,,,,,,,
intracom holdings,"austin, texas",,,1977,,,,,,,,,
ikea,,,,28 july 1943  79 years ago  1943-07-28 [1] in sweden,,,,,,,,,
illinois tool works,"glenview, illinois",,,1912  110 years ago  1912 ,,,,,,,,,
infosys,"glenview, illinois",,,2 july 1981  41 years ago  2 july 1981 ,,,,,,,,,
