name,headquarters,country,address,founded,employees,ceo,founders,market_cap,share_price,categories,sector,link,type
banco santander sa,"madrid,spain",spain,, 15 may 1857," 177,033",jose antonio alvarez alvarez,,61670000000,,,financials,,
fidelity national information services inc,"jacksonville,fl,unitedstates",united states,, 1968," 65,000",gary adam norcross,,61730000000,,,technology,,
analog devices inc,"norwood,ma,unitedstates",united states,," cambridge, massachusetts, united states 1965"," 24,700",vincent t roche,,62000000000,,,technology,,
eaton corporation plc,"dublin,ireland",ireland,, 1911," 85,947",craig arnold,,62170000000,,,industrials,,
pioneer natural resources company,"irving,tx,unitedstates",united states,, 1997," 1,932",scott douglas sheffield,,62190000000,,,energy,,
nintendo co ltd,"kyoto,japan",japan,,," 6,574",,,62200000000,,,communication services,,
moody's corporation,"newyork,ny,unitedstates",united states,, 1909 ," 13,460",robert scott fauber,,62580000000,,,financials,,
uber technologies inc,"sanfrancisco,ca,unitedstates",united states,, march 2009," 29,300",dara khosrowshahi,,62660000000,,,technology,,
sea limited,"singapore,singapore",singapore,,," 29,800",xiaodong li,,62660000000,,,communication services,,
paychex inc,"rochester,ny,unitedstates",united states,, 1971," 15,000",martin mucci,,49230000000,,,industrials,,
centene corporation,"st.louis,mo,unitedstates",united states,, 1984," 72,500",sarah m london,,49320000000,,,healthcare,,
the kraft heinz company,"pittsburgh,pa,unitedstates",united states,," july 2, 2015"," 36,000",miguel patricio,,49420000000,,,consumer staples,,
roper technologies inc,"sarasota,fl,unitedstates",united states,, 1890," 19,300",laurence neil hunn,,49660000000,,,industrials,,
mercadolibre inc,"buenosaires,argentina",argentina,," august 2, 1999"," 29,957",marcos eduardo galperan,,49830000000,,,consumer discretionary,,
illumina inc,"sandiego,ca,unitedstates",united states,, 1998," 9,800",francis a desouza,,49910000000,,,healthcare,,
safran sa,"paris,france",france,,," 77,008",olivier andries,,50020000000,,,industrials,,
synopsys inc,"mountainview,ca,unitedstates",united states,," 1986 in research triangle park, north carolina."," 16,361",aart j de geus,,50180000000,,,technology,,
novatek pjsc,"tarko-sale,russia",russia,,,,leonid viktorovich mikhelson,,50190000000,,,energy,,
ecolab inc,"saintpaul,mn,unitedstates",united states,, 1923 ," 47,000",christophe beck,,50290000000,,,basic materials,,
china tourism group duty free corp ltd,"beijing,china",china,,," 14,217",,,50460000000,,,consumer discretionary,,
hon hai precision industry co ltd,"newtaipeicity,taiwan",taiwan,,,,,,50750000000,,,technology,,
fortescue metals group limited,"eastperth,wa,australia",australia,, 2003," 10,232",elizabeth anne gaines ca,,50760000000,,,basic materials,,
american electric power company inc,"columbus,oh,unitedstates",united states,, 1906," 16,688",nicholas k akins,,50950000000,,,utilities,,
archer-daniels-midland company,"chicago,il,unitedstates",united states,," minneapolis, minnesota, u.s.1902"," 39,218",juan ricardo luciano,,51030000000,,,consumer staples,,
general accident plc,,united kingdom,,,,,,51430000000,,,financials,,
agribank fcb,"saintpaul,mn,unitedstates",united states,,,,,,51490000000,,,financials,,
l3harris technologies inc,"melbourne,fl,unitedstates",united states,," june 29, 2019"," 47,000",christopher e kubasik cpa cpa,,51510000000,,,industrials,,
toyota motor corporation,"toyota,japan",japan,," august 28, 1937"," 371,365",akio toyoda,,51550000000,,,consumer discretionary,,
denso corp,"kariya,japan",japan,,," 168,391",koji arima,,51580000000,,,consumer discretionary,,
bce inc,"verdun,qc,canada",canada,, 1983," 49,781",mirko bibic,,51710000000,,,communication services,,
stellantis nv,"amsterdam,netherlands",netherlands,,," 281,595",carlos tavares,,51800000000,,,consumer discretionary,,
eni spa,"rome,rm,italy",italy,, 10 february 1953," 31,495",claudio descalzi,,52000000000,,,energy,,
itochu corp,"tokyo,japan",japan,,," 125,944",masahiro okafuji,,52190000000,,,industrials,,
xilinx inc,"sanjose,ca,unitedstates",united states,, 1984," 4,890",victor peng,,52190000000,,,technology,,
nxp semiconductors nv,"eindhoven,netherlands",netherlands,, established in 2006," 31,000",kurt sievers,,52280000000,,,technology,,
fast retailing co ltd,"yamaguchi,japan",japan,,," 55,589",tadashi yanai,,52290000000,,,consumer discretionary,,
liberty bancshares inc oh,"ada,oh,unitedstates",united states,,,,ronald l zimmerly jr,,52300000000,,,financials,,
occidental petroleum corporation,"houston,tx,unitedstates",united states,, june 1909," 11,678",vicki a hollub,,52300000000,,,energy,,
sempra energy,"sandiego,ca,unitedstates",united states,, 1998," 15,390",jeffrey walker martin,,52470000000,,,utilities,,
basf se,"ludwigshafenamrhein,germany",germany,,," 108,718",martin brudermuller,,52760000000,,,basic materials,,
thomson reuters corporation,"toronto,on,canada",canada,,," 24,400",stephen john hasker bcom mba,,53300000000,,,industrials,,
london stock exchange group plc,"london,unitedkingdom",united kingdom,, 23 june 2007," 24,158",david a schwimmer,,53330000000,,,financials,,
lonza group ltd,"basel,switzerland",switzerland,,," 16,218",,,53760000000,,,healthcare,,
ferrari nv,"maranello,mo,italy",italy,, 13 september 1939," 4,609",benedetto vigna,,53780000000,,,consumer discretionary,,
snap inc,"santamonica,ca,unitedstates",united states,," september 16, 2011"," 5,661",evan spiegel,,53860000000,,,communication services,,
fortinet inc,"sunnyvale,ca,unitedstates",united states,, 2000," 10,195",ken xie,,53860000000,,,technology,,
