name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
wellergruppe gmbh & co kg,berlin,,,,1979,"2,353",,,,retail,,,,,,private
porta holding gmbh & co kg,porta westfalica,,,,1965,"7,175",,,,retail,,,,,,private
hormann kg verkaufsgesellschaft,steinhagen,,,,1935,"6,000",,,,industrial manufacturing,,,,,,private
prettl produktions holding gmbh,pfullingen,,,,1953,"12,800",,,,automotive,,,,,,private
jakob funke medien beteiligungs gmbh & co kg,e en,,,,1948,"7,009",,,,media and entertainment,,,,,,private
robert klingel ohg,pforzheim,,,,1920,"2,928",,,,financial services,,,,,,private
veka ag,sendenhorst,,,,1969,"5,595",,,,industrial manufacturing,,,,,,private
multivac sepp haggenmuller se & co kg,wolfertschwenden,,,,1961,"5,731",,,,industrial manufacturing,,,,,,private
serviceplan gruppe fur innovative kommunikation gmbh & co kg,munchen,,,,1970,"1,917",,,,media and entertainment,,,,,,private
kws saat se,einbeck,,,,1856,"5,147",,,,foods and beverages,,,,,,public
schoeller holding se & co kgaa,pullach,,,,1880,"4,200",,,,industrial manufacturing,,,,,,private
viega holding gmbh & co kg,attendorn,,,,1899,"4,000",,,,industrial manufacturing,,,,,,private
hettich holding gmbh & co ohg,kirchlengern,,,,1888,"6,700",,,,industrial manufacturing,,,,,,private
huf hulsbeck & furst gmbh & co kg,velbert,,,,1908,"7,500",,,,automotive,,,,,,private
lapp holding ag,stuttgart,,,,1959,"3,770",,,,industrial manufacturing,,,,,,private
rutronik elektronische bauelemente gmbh,ispringen,,,,1973,"1,700",,,,technology,,,,,,private
alois dallmayr kg,munchen,,,,1700,"4,122",,,,foods and beverages,,,,,,private
wortmann schuh-holding kg,detmold,,,,1967,"1,154",,,,consumer products,,,,,,private
pfeifer & langen group,koln,,,,1962,"2,400",,,,foods and beverages,,,,,,private
engelbert strau gmbh & co kg,biebergemund,,,,1948,"1,300",,,,profe ional services,,,,,,private
