name,headquarters,country,continent,region,founded,employees,ceo,market_cap,categories,sector,revenue,link,share_price,founders,address,type
cooperativa esercenti farmacia soc coop a rl,,,,,,,,,,,,,,,"via achille grandi 18, brescia, 25125, brescia, italy",cooperative
centauro srl,,,,,,,,,,,,,,,"via agostino bertani 2, milano, 20154, milano, italy",corporation
tesya spa,,,,,,,,,,,,,,,"via padana superiore 19, vimodrone, 20055, milano, italy",corporation
alpiq energia italia spa,,,,,,,,,,,,,,,"via marostica 1, milano, 20146, milano, italy",corporation
alpiq italia srl,,,,,,,,,,,,,,,"via marostica 1, milano, 20146, milano, italy",corporation
impresa pizzarotti & c spa,,,,,,,,,,,,,,,"via madre anna maria adorni 1, parma, 43121, parma, italy",corporation
autotorino spa,,,,,,,,,,,,,,,"via stazione 4, cosio valtellino, 23013, sondrio, italy",corporation
philip morris manufacturing & technology bologna spa,,,,,,,,,,,,,,,"via giacomo venturi 1-2, valsamoggia, 40053, bologna, italy",corporation
sanofi srl,,,,,,,,,,,,,,,"viale luigi bodio 37/b, milano, 20158, milano, italy",corporation
leasys spa,,,,,,,,,,,,,,,"corso orbassano 367, torino, 10137, torino, italy",corporation
unilever italia mkt operations srl,,,,,,,,,,,,,,,"via paolo di dono 3/a, roma, 00142, roma, italy",corporation
decathlon italia srl,,,,,,,,,,,,,,,"via lavoratori autobianchi 1, desio, 20832, monza e brianza, italy",corporation
hb trading spa,,,,,,,,,,,,,,,"piazza giuseppe garibaldi 4, sarzana, 19038, la spezia, italy",corporation
eurospin lazio spa,,,,,,,,,,,,,,,"via francesco baracca 2/4 6, aprilia, 04011, latina, italy",corporation
