name,headquarters,country,continent,region,sub_region,founded,employees,ceo,market_cap,categories,sector,industry,revenue,link,share_price,results_for_year,total_equity,founders,market_value,address,type
opc energy,,israel,,,,,,,2500000000.0,electricity energy ,,,,,11.0,,,,,,
revolution medicines,,usa,,,,,,,2530000000.0,,,,,,28.0,,,,,,
ssp group,,united-kingdom,,,,,,,2520000000.0,restaurant-chains food ,,,,,3.0,,,,,,
independent bank group,,usa,,,,,,,2510000000.0,banks financial-services ,,,,,61.0,,,,,,
banco macro,,,,,,,,,2520000000.0,,,,,,22.0,,,,,,
outokumpu,,finland,,,,,,,2520000000.0,,,,,,5.0,,,,,,
apollo tyres,,india,,,,,,,2520000000.0,tires ,,,,,3.0,,,,,,
duck creek technologies,,usa,,,,,,,2530000000.0,software tech ,,,,,19.0,,,,,,
inficon,,switzerland,,,,,,,2530000000.0,scientific-and-technical-instruments ,,,,,1.0,,,,,,
baytex energy,,canada,,,,,,,2540000000.0,oil-gas energy ,,,,,4.0,,,,,,
relay therapeutics,,usa,,,,,,,2530000000.0,pharmaceuticals biotech ,,,,,21.0,,,,,,
red rock resorts,,usa,,,,,,,2550000000.0,,,,,,44.0,,,,,,
