rank,company,revenues_2018_$m,employees,family_ownership,founded,public/private,generation,family_executive,woman_in_leadership,sector,headquarters,state_(abbreviation),website
169,me er industrie gmbh,"1,549.8","5,805",me er,1897,private,3,yes,no,industrial manufacturing,bad soden,he,www.me ergroup.com
170,bitburger holding gmbh,"1,533.2","4,346","simon, niewodniczanski",1817,private,7,yes,no,foods and beverages,bitburg,rp,www.bitburger-holding.de
171,bmv mineralol versorgungsgesellschaft mbh,"1,529.8",130,"schonherr, el obeid",1986,private,2,yes,yes,energy and utilities,berlin,be,www.bmv-mineraloel.de
172,delton ag,"1,523.2","5,383",quandt,1989,private,4,no,no,transportation and logistics,bad homburg vor der hohe,he,www.delton.de
173,sto se & co kgaa,"1,493.3","5,333",stotmeister,1955,public,4,no,no,industrial manufacturing,stuhlingen,bw,www.sto.de
174,otto krahn gmbh & co kg,"1,492.1","1,381",krahn,1909,private,3,yes,yes,industrial manufacturing,hamburg,hh,www.krahn.eu  albis.com
175,richter frenzel gmbh co kg,"1,488.4","3,600",stahl,1895,private,4,no,no,industrial manufacturing,wurzburg,by,www.richter-frenzel.de
176,marquardt gmbh,"1,488.4","11,226",marquardt,1925,private,3,yes,no,industrial manufacturing,rietheim-weilheim,bw,www.marquardt.de
177,stulz gmbh,"1,483.4","7,182",stulz,1947,private,2,yes,no,industrial manufacturing,hamburg,hh,www.stulz.de
178,rohlig logistics gmbh & co kg,"1,481.3","2,200","herwig, belz",1852,private,6,yes,yes,transportation and logistics,bremen,hb,www.rohlig.com
179,daw se,"1,476.5","5,688",murjahn,1895,private,5,yes,no,industrial manufacturing,ober-ramstadt,he,www.daw.de
180,herrenknecht group,"1,470.8","5,426",herrenknecht,1977,private,2,yes,no,industrial manufacturing,schwanau,bw,www.herrenknecht.de
181,rosenberger gmbh & co kg,"1,462.6","11,000",rosenberger,1958,private,2,yes,no,financial services,fridolfing,by,www.rosenberger.de
182,bofrost stiftung,"1,450.7","11,019",boquoi,1966,private,2,no,no,foods and beverages,straelen,nw,www.bofrost.de
183,auktion & markt ag,"1,443.8",281,muth,1988,private,1,yes,no,retail,wiesbaden,he,www.auktion-markt.de
184,depenbrock group,"1,431.2",560,depenbrock,1928,private,4,yes,no,industrial manufacturing,stemwede,nw,www.depenbrock.de
185,hoffmann group,"1,431.2","3,300","bleicher, januschke",1919,private,4,no,no,financial services,munchen,by,www.hoffmann-group.com
186,papier - mettler inhaber michael mettler,"1,431.2","3,900",mettler,1957,private,2,yes,yes,industrial manufacturing,morbach,rp,www.papier-mettler.com
187,johannes heidenhain gmbh,"1,429.3","7,915",heidenhain,1889,private,3,no,no,technology,traunreut,by,www.heidenhain.de
188,hoyer gmbh internationale fachspedition,"1,418.5","6,032",hoyer,1946,private,3,no,no,transportation and logistics,hamburg,hh,www.hoyer-group.com
189,beiselen holding gmbh,"1,407.0",700,schuler,1890,private,4,yes,no,financial services,ulm,bw,www.beiselen.de
190,ego blanc und fischer & co gmbh,"1,405.1","6,000","blanc, fischer",1925,private,3,no,no,technology,oberderdingen,bw,www.blanc-fischer.com
191,cts eventim ag & co kgaa,"1,400.7","2,945",schulenberg,1989,public,1,yes,no,media and entertainment,bremen,hb,www.eventim.de
192,biesterfeld ag,"1,397.4",800,biesterfeld,1906,private,4,yes,yes,industrial manufacturing,hamburg,hh,www.biesterfeld.com
193,borbet gmbh,"1,383.1","4,800",borbet,1881,private,4,yes,no,automotive,hallenberg-hesborn,nw,www.borbet.de
194,hirschvogel holding gmbh,"1,375.7","5,481","hirschvogel, britzger",1938,private,3,no,no,automotive,denklingen,by,www.hirschvogel.com
195,sudwest beteiligungen gmbh,"1,349.1","1,700","seizinger, weitzmann",1900,private,3,yes,yes,industrial manufacturing,eberbach,bw,www.sws-ag.com
196,wernsing food family gmbh & co kg,"1,349.1","3,550",wernsing,1962,private,2,yes,no,foods and beverages,addrup-e en,ni,www.wernsing.de
197,guhring kg,"1,321.8","8,000",guhring,1898,private,4,yes,no,industrial manufacturing,albstadt,bw,www.guehring.de
198,ehg service gmbh,"1,320.2","12,000",ernsting,1968,private,2,no,yes,retail,coesfeld,nw,www.ernstings-family.de
199,berner se,"1,300.1","8,500",berner,1957,private,2,yes,yes,industrial manufacturing,kunzelsau,bw,www.berner-group.com
