name,address,nation,hhid,industry,sic_code,type,est_of_ownership
michelin italiana sami spa,"corso giulio cesare 424/95/c, torino, 10156, torino, italy",it00570070011,h-it0010302581,manufacturing,mfg tires/inner tubes  3011 ,corporation,1930
brt spa,"via enrico mattei 42, bologna, 40138, bologna, italy",it04507990150,h-it0022984526,"transportation, communications, electric, gas, and sanitary services",trucking operator-non local  4213 ,corporation,1979
de' longhi appliances srl,"via lodovico seitz 47, treviso, 31100, treviso, italy",it00698370962,h-it0009358986,manufacturing,mfg electric housewares/fans  3634 ,corporation,1968
ford italia spa,"via del serafico 89, roma, 00142, roma, italy",it00894451004,h-it0008847908,retail trade,ret new/used automobiles  5511 ,corporation,1929
sofida spa,"contrada della misericordia 14, vicenza, 36100, vicenza, italy",it02037780240,h-it0039940438,"finance, insurance, and real estate",misc business credit institutions  6159 ,corporation,1988
arianna 2001 spa,"via leopoldo serra 32, roma, 00153, roma, italy",it01690551005,h-it0002323834,services,business services  7389 ,corporation,1985
recordati industria chimica e farmaceutica spa,"via matteo civitali 1, milano, 20148, milano, italy",it00748210150,h-it0009754954,manufacturing,mfg pharmaceutical preparations  2834 ,corporation,1926
leroy merlin italia srl,"strada 8 palazzo n milanofiori, rozzano, 20089, milano, italy",it05602710963,h-it0001474030,retail trade,ret misc general merchandise  5399 ,corporation,1993
vittoria assicurazioni spa,"via ignazio gardella 2, milano, 20149, milano, italy",it01329510158,h-it0009852255,"finance, insurance, and real estate",insurance carrier  6399 ,corporation,1921
vanini holding srl,"via ansperto 7, milano, 20123, milano, italy",it04626420964,h-it0024524522,"finance, insurance, and real estate",holding company  6719 ,corporation,2004
fedrigoni spa,"via enrico fermi 13/f, verona, 37135, verona, italy",it01664630223,h-it0073057495,manufacturing,paper mill  2621 ,corporation,1961
gruppo ipg holding spa,"viale bianca maria 24, milano, 20129, milano, italy",it05830220967,h-it0024173657,"finance, insurance, and real estate",holding company  6719 ,corporation,2007
bg holding srl,"via borgonuovo 14, milano, 20121, milano, italy",it11400920960,h-it0587875608,"finance, insurance, and real estate",holding company  6719 ,corporation,2020
burgo group spa,"via piave 1, altavilla vicentina, 36077, vicenza, italy",it13051890153,h-it0075590115,manufacturing,paper mill  2621 ,corporation,1905
gruppo lactalis italia srl,"via flavio gioia 8, milano, 20149, milano, italy",it04889820967,h-it0007749643,"finance, insurance, and real estate",holding company  6719 ,corporation,2002
megaholding srl,"strada provinciale 130 andria-trani, trani, 76125, barletta andria trani, italy",it01149290726,h-it0013320254,"finance, insurance, and real estate",holding company  6719 ,corporation,1979
betflag spa,"zona industriale di baragiano snc, balvano, 85050, potenza, italy",it01779160769,h-it0020126247,services,amusement/recreation services  7999 ,corporation,2010
computer gross spa,"via del pino 1, empoli, 50053, firenze, italy",it04801490485,h-it0075070049,wholesale trade,whol computers/peripherals  5045 ,corporation,1993
publitalia 80 concessionaria pubblicita' spa,"viale europa 46, cologno monzese, 20093, milano, italy",it04529390157,h-it0025357808,services,advertising representative  7313 ,corporation,1979
papiniano spa,"via guglielmo marconi 36, bologna, 40122, bologna, italy",it03527610376,h-it0030349982,"finance, insurance, and real estate",misc business credit institutions  6159 ,corporation,1985
ies italiana energia e servizi spa,"strada cipata 79, mantova, 46100, mantova, italy",it03123470100,h-it0036784486,manufacturing,petroleum refiner  2911 ,corporation,1975
commercianti indipendenti associati soc coop,"via dei mercanti 3, forli', 47122, forli'-cesena, italy",it00138950407,h-it0035389850,wholesale trade,whol general groceries  5141 ,corporation,1959
casillo partecipazioni spa,"via antonio sant'elia, corato, 70033, bari, italy",it05287570724,h-it0071883754,"finance, insurance, and real estate",holding company  6719 ,corporation,1998
otb spa,"via dell'industria 2, breganze, 36042, vicenza, italy",it01571110244,h-it0034407464,"finance, insurance, and real estate",holding company  6719 ,corporation,1981
ansaldo energia spa,"via nicola lorenzi 8, genova, 16152, genova, italy",it03279700102,h-it0009920250,manufacturing,mfg turbines/generator sets  3511 ,corporation,1953
romeo gas spa,"via verizzo 1030, pieve di soligo, 31053, treviso, italy",it12060630964,h-it0888727319,"transportation, communications, electric, gas, and sanitary services",gas transmission/distribution  4923 ,corporation,2021
sg distribuzione srl,"via giorgio perlasca 20/c, fidenza, 43036, parma, italy",it03000750343,h-it1038511118,"transportation, communications, electric, gas, and sanitary services",gas transmission/distribution  4923 ,corporation,2022
radicifin sapa,"via giuseppe verdi 11, bergamo, 24121, bergamo, italy",it01612320166,h-it0062801449,"finance, insurance, and real estate",holding company  6719 ,corporation,1985
alpha trading spa,"via brigata liguria 3/19, genova, 16121, genova, italy",it11879090154,h-it0021467846,wholesale trade,whol petroleum products  5172 ,corporation,1985
credit agricole italia spa,"strada dell'universita' 1, parma, 43121, parma, italy",it02113530345,h-it0066706513,"finance, insurance, and real estate",national commercial bank  6021 ,corporation,1860
manpower srl,"via gioacchino rossini 6/8, milano, 20122, milano, italy",it11947650153,h-it0072914947,services,help supply services  7363 ,corporation,1996
bennet holding spa,"piazza della repubblica 28, milano, 20124, milano, italy",it07069120967,h-it0025923595,"finance, insurance, and real estate",holding company  6719 ,corporation,2010
finmeg srl,"piazza della repubblica 28, milano, 20124, milano, italy",it05951430965,h-it0003010643,"finance, insurance, and real estate",holding company  6719 ,corporation,2007
bennet spa,"via enzo ratti 2, montano lucino, 22070, como, italy",it07071700152,h-it0050435167,retail trade,ret groceries  5411 ,corporation,1983
