name,master_cap,country,industry,sector
stenprop ltd,"(nov. 1, 2021)",united kingdom,reitindustrial,real estate
craneware plc,718900000,united kingdom,health information services,healthcare
integrated diagnostics holdings plc,718000000,united kingdom,diagnostics & research,healthcare
bluefield solar income fund limited,717500000,united kingdom,asset management,financials
sthree plc,717100000,united kingdom,staffing & employment services,industrials
twentyfour income ord,716500000,united kingdom,asset management,financials
fw thorpe plc,714900000,united kingdom,electrical equipment & parts,industrials
torm plc,713800000,united kingdom,oil & gas midstream,energy
north atlantic smaller companies,712900000,united kingdom,asset management,financials
the prs reit plc,705500000,united kingdom,reitresidential,real estate
scion tech growth i,704000000,united kingdom,shell companies,financials
boussard & gavaudan holdings eur,695300000,united kingdom,asset management,financials
navigator holdings ltd,691800000,united kingdom,oil & gas midstream,energy
fd technologies plc,690500000,united kingdom,information technology services,technology
baillie gifford shin nippon plc,690200000,united kingdom,asset management,financials
mountview estates plc,688400000,united kingdom,real estate services,real estate
ncc group plc,686300000,united kingdom,softwareapplication,technology
imimobile plc,"(march 13, 2021)",united kingdom,softwareapplication,technology
john menzies plc,682500000,united kingdom,airports & air services,industrials
johnson service group plc,680700000,united kingdom,specialty business services,industrials
marston's plc,671400000,united kingdom,restaurants,consumer discretionary
hunting plc,669900000,united kingdom,oil & gas equipment & services,energy
ecclesiastical insurance office plc,666800000,united kingdom,insurancelife,financials
senior plc,662600000,united kingdom,aerospace & defense,industrials
enquest plc,661500000,united kingdom,oil & gas e&p,energy
robert walters plc,660200000,united kingdom,staffing & employment services,industrials
blackrock greater europe investment trust plc,659800000,united kingdom,asset management,financials
nichols plc,657000000,united kingdom,beveragesnon-alcoholic,consumer staples
arrow global group plc,"(march 13, 2021)",united kingdom,asset management,financials
halfords group plc,650100000,united kingdom,specialty retail,consumer discretionary
rdi reit plc,"(march 13, 2021)",united kingdom,reitdiversified,real estate
urban logistics reit plc,644000000,united kingdom,reitindustrial,real estate
frontier developments plc,635600000,united kingdom,electronic gaming & multimedia,communication services
odfjell drilling ltd,634700000,united kingdom,oil & gas drilling,energy
helical plc,632100000,united kingdom,real estate services,real estate
genel energy plc,631900000,united kingdom,oil & gas e&p,energy
henderson far east income ltd,"(march 13, 2021)",united kingdom,asset management,financials
wincanton plc,629700000,united kingdom,integrated freight & logistics,industrials
mid-wynd international investment trust plc,625900000,united kingdom,asset management,financials
alfa financial software holdings plc,622300000,united kingdom,softwareapplication,technology
the restaurant group plc,616300000,united kingdom,restaurants,consumer discretionary
schroder asian total return investment company plc,612100000,united kingdom,asset management,financials
tritax eurobox plc,"(march 13, 2021)",united kingdom,reitindustrial,real estate
sig plc,604700000,united kingdom,industrial distribution,industrials
chesnara plc,599500000,united kingdom,insurancelife,financials
dunedin income growth investment trust,592400000,united kingdom,asset management,financials
silence therapeutics plc,"(nov. 1, 2021)",united kingdom,biotechnology,healthcare
aberdeen standard asia focus plc,584200000,united kingdom,asset management,financials
gcp asset backed income fund limited,580100000,united kingdom,asset management,financials
cineworld group plc,575900000,united kingdom,entertainment,communication services
kin and carta plc,574800000,united kingdom,specialty business services,industrials
brunner investment trust plc,574700000,united kingdom,asset management,financials
impact healthcare reit plc,567300000,united kingdom,reitdiversified,real estate
